entry,at,order
"The player ""Aidan @ Cjnby_nuhl"" stand up with the stack of 83.73.",2022-01-27T12:13:39.130Z,164328561913000
"-- ending hand #244 --",2022-01-27T12:13:31.126Z,164328561112602
"""Eric @ H6gP0q2HPC"" collected 12.50 from pot",2022-01-27T12:13:31.126Z,164328561112601
"Uncalled bet of 13.00 returned to ""Eric @ H6gP0q2HPC""",2022-01-27T12:13:31.126Z,164328561112600
"""Aidan @ Cjnby_nuhl"" folds",2022-01-27T12:13:30.223Z,164328561022300
"""Rohan @ Q8ZCor2YJG"" folds",2022-01-27T12:13:29.298Z,164328560929800
"""Eric @ H6gP0q2HPC"" bets 13.00",2022-01-27T12:13:27.702Z,164328560770200
"Flop:  [J♥, 4♥, K♠]",2022-01-27T12:13:19.991Z,164328559999100
"""Aidan @ Cjnby_nuhl"" calls 4.00",2022-01-27T12:13:19.165Z,164328559916500
"""Rohan @ Q8ZCor2YJG"" calls 4.00",2022-01-27T12:13:18.068Z,164328559806800
"""Eduardo @ vAnWuTY_FS"" folds",2022-01-27T12:13:14.216Z,164328559421600
"""Eric @ H6gP0q2HPC"" raises to 4.00",2022-01-27T12:13:13.189Z,164328559318900
"""Aidan @ Cjnby_nuhl"" raises to 1.50",2022-01-27T12:13:06.806Z,164328558680600
"""Sam @ QR-4gITocS"" folds",2022-01-27T12:13:04.433Z,164328558443300
"""Rohan @ Q8ZCor2YJG"" calls 0.50",2022-01-27T12:13:02.099Z,164328558209900
"""Zach @ BBsZMWPFSI"" folds",2022-01-27T12:12:59.792Z,164328557979200
"""Eduardo @ vAnWuTY_FS"" posts a big blind of 0.50",2022-01-27T12:12:57.102Z,164328557710209
"""Eric @ H6gP0q2HPC"" posts a small blind of 0.25",2022-01-27T12:12:57.102Z,164328557710208
"Your hand is 3♣, A♦",2022-01-27T12:12:57.102Z,164328557710207
"Player stacks: #1 ""Rohan @ Q8ZCor2YJG"" (133.62) | #5 ""Sam @ QR-4gITocS"" (85.96) | #7 ""Aidan @ Cjnby_nuhl"" (87.73) | #8 ""Eric @ H6gP0q2HPC"" (49.54) | #9 ""Eduardo @ vAnWuTY_FS"" (24.77) | #10 ""Zach @ BBsZMWPFSI"" (118.88)",2022-01-27T12:12:57.102Z,164328557710201
"-- starting hand #244  (No Limit Texas Hold'em) (dealer: ""Aidan @ Cjnby_nuhl"") --",2022-01-27T12:12:57.102Z,164328557710200
"-- ending hand #243 --",2022-01-27T12:12:54.099Z,164328557409902
"""Eric @ H6gP0q2HPC"" collected 7.25 from pot",2022-01-27T12:12:54.099Z,164328557409901
"Uncalled bet of 8.25 returned to ""Eric @ H6gP0q2HPC""",2022-01-27T12:12:54.099Z,164328557409900
"""Zach @ BBsZMWPFSI"" folds",2022-01-27T12:12:53.260Z,164328557326000
"""Eduardo @ vAnWuTY_FS"" folds",2022-01-27T12:12:51.859Z,164328557185900
"""Eric @ H6gP0q2HPC"" bets 8.25",2022-01-27T12:12:50.647Z,164328557064700
"Flop:  [J♣, Q♣, 5♦]",2022-01-27T12:12:44.093Z,164328556409300
"""Aidan @ Cjnby_nuhl"" folds",2022-01-27T12:12:43.181Z,164328556318100
"""Zach @ BBsZMWPFSI"" calls 2.25",2022-01-27T12:12:42.265Z,164328556226500
"""Eduardo @ vAnWuTY_FS"" calls 2.25",2022-01-27T12:12:40.284Z,164328556028400
"""Eric @ H6gP0q2HPC"" raises to 2.25",2022-01-27T12:12:39.357Z,164328555935700
"""Aidan @ Cjnby_nuhl"" calls 0.50",2022-01-27T12:12:32.795Z,164328555279500
"""Sam @ QR-4gITocS"" folds",2022-01-27T12:12:31.227Z,164328555122700
"""Rohan @ Q8ZCor2YJG"" folds",2022-01-27T12:12:27.100Z,164328554710000
"""Zach @ BBsZMWPFSI"" calls 0.50",2022-01-27T12:12:24.333Z,164328554433300
"""Eduardo @ vAnWuTY_FS"" calls 0.50",2022-01-27T12:12:22.486Z,164328554248600
"""Eric @ H6gP0q2HPC"" posts a big blind of 0.50",2022-01-27T12:12:20.882Z,164328554088209
"""Aidan @ Cjnby_nuhl"" posts a small blind of 0.25",2022-01-27T12:12:20.882Z,164328554088208
"Your hand is 10♥, J♦",2022-01-27T12:12:20.882Z,164328554088207
"Player stacks: #1 ""Rohan @ Q8ZCor2YJG"" (133.62) | #5 ""Sam @ QR-4gITocS"" (85.96) | #7 ""Aidan @ Cjnby_nuhl"" (88.23) | #8 ""Eric @ H6gP0q2HPC"" (44.54) | #9 ""Eduardo @ vAnWuTY_FS"" (27.02) | #10 ""Zach @ BBsZMWPFSI"" (121.13)",2022-01-27T12:12:20.882Z,164328554088201
"-- starting hand #243  (No Limit Texas Hold'em) (dealer: ""Sam @ QR-4gITocS"") --",2022-01-27T12:12:20.882Z,164328554088200
"-- ending hand #242 --",2022-01-27T12:12:17.882Z,164328553788202
"""Aidan @ Cjnby_nuhl"" collected 0.50 from pot",2022-01-27T12:12:17.882Z,164328553788201
"Uncalled bet of 0.25 returned to ""Aidan @ Cjnby_nuhl""",2022-01-27T12:12:17.882Z,164328553788200
"""Sam @ QR-4gITocS"" folds",2022-01-27T12:12:16.956Z,164328553695600
"""Rohan @ Q8ZCor2YJG"" folds",2022-01-27T12:12:12.693Z,164328553269300
"""Zach @ BBsZMWPFSI"" folds",2022-01-27T12:12:08.448Z,164328552844800
"""Eduardo @ vAnWuTY_FS"" folds",2022-01-27T12:12:02.971Z,164328552297100
"""Eric @ H6gP0q2HPC"" folds",2022-01-27T12:12:02.008Z,164328552200800
"""Aidan @ Cjnby_nuhl"" posts a big blind of 0.50",2022-01-27T12:12:00.344Z,164328552034409
"""Sam @ QR-4gITocS"" posts a small blind of 0.25",2022-01-27T12:12:00.344Z,164328552034408
"Your hand is 5♥, A♦",2022-01-27T12:12:00.344Z,164328552034407
"Player stacks: #1 ""Rohan @ Q8ZCor2YJG"" (133.62) | #5 ""Sam @ QR-4gITocS"" (86.21) | #7 ""Aidan @ Cjnby_nuhl"" (87.98) | #8 ""Eric @ H6gP0q2HPC"" (44.54) | #9 ""Eduardo @ vAnWuTY_FS"" (27.02) | #10 ""Zach @ BBsZMWPFSI"" (121.13)",2022-01-27T12:12:00.344Z,164328552034401
"-- starting hand #242  (No Limit Texas Hold'em) (dealer: ""Rohan @ Q8ZCor2YJG"") --",2022-01-27T12:12:00.344Z,164328552034400
