entry,at,order
"The player ""Chris @ ZEVJrHfGTj"" quits the game with a stack of 266.23.",2022-01-28T08:31:32.115Z,164335869211504
"The player ""Chris @ ZEVJrHfGTj"" stand up with the stack of 266.23.",2022-01-28T08:31:32.115Z,164335869211503
"The player ""Zach Y @ QR-4gITocS"" stand up with the stack of 126.18.",2022-01-28T08:31:32.115Z,164335869211502
"The player ""Zach @ BBsZMWPFSI"" stand up with the stack of 227.21.",2022-01-28T08:31:32.115Z,164335869211501
"The player ""Nate @ 8d8glJLxQP"" stand up with the stack of 274.48.",2022-01-28T08:31:32.115Z,164335869211500
"-- ending hand #212 --",2022-01-28T08:31:29.118Z,164335868911802
"""kobe @ AlI4qMkitA"" collected 28.00 from pot",2022-01-28T08:31:29.118Z,164335868911801
"Uncalled bet of 20.00 returned to ""kobe @ AlI4qMkitA""",2022-01-28T08:31:29.118Z,164335868911800
"""hen @ lThNfQ1a9c"" folds",2022-01-28T08:31:28.269Z,164335868826900
"""kobe @ AlI4qMkitA"" bets 20.00",2022-01-28T08:31:06.330Z,164335866633000
"River: 10♦, 6♦, 3♦, 2♣ [6♠]",2022-01-28T08:30:40.749Z,164335864074900
"""Chris @ ZEVJrHfGTj"" folds",2022-01-28T08:30:39.900Z,164335863990000
"""hen @ lThNfQ1a9c"" calls 5.00",2022-01-28T08:30:35.640Z,164335863564000
"""Nate @ 8d8glJLxQP"" folds",2022-01-28T08:30:33.326Z,164335863332600
"""Zach Y @ QR-4gITocS"" folds",2022-01-28T08:30:32.407Z,164335863240700
"""Zach @ BBsZMWPFSI"" folds",2022-01-28T08:30:29.019Z,164335862901900
"""kobe @ AlI4qMkitA"" bets 5.00",2022-01-28T08:30:27.562Z,164335862756200
"Turn: 10♦, 6♦, 3♦ [2♣]",2022-01-28T08:30:21.072Z,164335862107200
"""Chris @ ZEVJrHfGTj"" checks",2022-01-28T08:30:20.238Z,164335862023800
"""hen @ lThNfQ1a9c"" checks",2022-01-28T08:30:19.236Z,164335861923600
"""Nate @ 8d8glJLxQP"" checks",2022-01-28T08:30:17.772Z,164335861777200
"""Zach Y @ QR-4gITocS"" checks",2022-01-28T08:30:16.844Z,164335861684400
"""Zach @ BBsZMWPFSI"" checks",2022-01-28T08:30:15.820Z,164335861582000
"""kobe @ AlI4qMkitA"" checks",2022-01-28T08:30:11.749Z,164335861174900
"Flop:  [10♦, 6♦, 3♦]",2022-01-28T08:30:07.207Z,164335860720700
"""Zach @ BBsZMWPFSI"" calls 3.00",2022-01-28T08:30:06.299Z,164335860629900
"""kobe @ AlI4qMkitA"" calls 3.00",2022-01-28T08:30:05.337Z,164335860533700
"""Chris @ ZEVJrHfGTj"" calls 3.00",2022-01-28T08:30:04.169Z,164335860416900
"""hen @ lThNfQ1a9c"" calls 3.00",2022-01-28T08:30:03.187Z,164335860318700
"""Nate @ 8d8glJLxQP"" calls 3.00",2022-01-28T08:30:01.622Z,164335860162200
"""Zach Y @ QR-4gITocS"" raises to 3.00",2022-01-28T08:30:00.295Z,164335860029500
"""Zach @ BBsZMWPFSI"" posts a big blind of 0.50",2022-01-28T08:29:50.791Z,164335859079109
"""kobe @ AlI4qMkitA"" posts a small blind of 0.25",2022-01-28T08:29:50.791Z,164335859079108
"Your hand is 4♣, A♥",2022-01-28T08:29:50.791Z,164335859079102
"Player stacks: #1 ""Zach @ BBsZMWPFSI"" (230.21) | #4 ""Zach Y @ QR-4gITocS"" (129.18) | #6 ""Nate @ 8d8glJLxQP"" (277.48) | #7 ""hen @ lThNfQ1a9c"" (209.67) | #8 ""Chris @ ZEVJrHfGTj"" (269.23) | #9 ""kobe @ AlI4qMkitA"" (333.56)",2022-01-28T08:29:50.791Z,164335859079101
"-- starting hand #212  (No Limit Texas Hold'em) (dealer: ""Chris @ ZEVJrHfGTj"") --",2022-01-28T08:29:50.791Z,164335859079100
"""Zach @ BBsZMWPFSI"" shows a 2♦, 8♣.",2022-01-28T08:29:48.653Z,164335858865300
"-- ending hand #211 --",2022-01-28T08:29:44.045Z,164335858404502
"""kobe @ AlI4qMkitA"" collected 13.87 from pot",2022-01-28T08:29:44.045Z,164335858404501
"Uncalled bet of 7.00 returned to ""kobe @ AlI4qMkitA""",2022-01-28T08:29:44.045Z,164335858404500
"""hen @ lThNfQ1a9c"" folds",2022-01-28T08:29:43.150Z,164335858315000
"""kobe @ AlI4qMkitA"" bets 7.00",2022-01-28T08:29:41.571Z,164335858157100
"Turn: J♦, J♣, 10♥ [K♥]",2022-01-28T08:29:35.923Z,164335857592300
"""hen @ lThNfQ1a9c"" checks",2022-01-28T08:29:35.040Z,164335857504000
"""kobe @ AlI4qMkitA"" checks",2022-01-28T08:29:33.742Z,164335857374200
"Flop:  [J♦, J♣, 10♥]",2022-01-28T08:29:31.920Z,164335857192000
"""Chris @ ZEVJrHfGTj"" folds",2022-01-28T08:29:31.089Z,164335857108900
"""hen @ lThNfQ1a9c"" calls 6.00",2022-01-28T08:29:30.002Z,164335857000200
"""Nate @ 8d8glJLxQP"" folds",2022-01-28T08:29:23.643Z,164335856364300
"""kobe @ AlI4qMkitA"" raises to 6.00",2022-01-28T08:29:20.302Z,164335856030200
"""Chris @ ZEVJrHfGTj"" calls 1.37",2022-01-28T08:29:14.524Z,164335855452400
"""hen @ lThNfQ1a9c"" raises to 1.37",2022-01-28T08:29:13.040Z,164335855304000
"""Nate @ 8d8glJLxQP"" calls 0.50",2022-01-28T08:29:02.454Z,164335854245400
"""Zach Y @ QR-4gITocS"" folds",2022-01-28T08:29:00.227Z,164335854022700
"""Zach @ BBsZMWPFSI"" folds",2022-01-28T08:28:58.300Z,164335853830000
"""kobe @ AlI4qMkitA"" posts a big blind of 0.50",2022-01-28T08:28:56.890Z,164335853689009
"""Chris @ ZEVJrHfGTj"" posts a small blind of 0.25",2022-01-28T08:28:56.890Z,164335853689008
"Your hand is 2♦, 8♣",2022-01-28T08:28:56.890Z,164335853689002
